"ENSEMBL","GO"
"ENSG00000000003","GO:0039532"
"ENSG00000000005","GO:0001886"
"ENSG00000000419","GO:0006488"
"ENSG00000000457","GO:0006954"
"ENSG00000000460","GO:0000278"
"ENSG00000000938","GO:0001819"
"ENSG00000000971","GO:0006508"
"ENSG00000001036","GO:0006004"
"ENSG00000001084","GO:0006534"
"ENSG00000001167","GO:0006355"
"ENSG00000001460","GO:0043065"
"ENSG00000001461","GO:0015693"
"ENSG00000001497","GO:0000460"
"ENSG00000001561","GO:0007596"
"ENSG00000001617","GO:0001755"
"ENSG00000001626","GO:0006695"
"ENSG00000001629","GO:0000209"
"ENSG00000001630","GO:0006694"
"ENSG00000001631","GO:0001525"
"ENSG00000002016","GO:0000724"
"ENSG00000002330","GO:0001836"
"ENSG00000002549","GO:0006508"
"ENSG00000002586","GO:0034109"
"ENSG00000002587","GO:0006024"
"ENSG00000002726","GO:0009308"
"ENSG00000002745","GO:0003408"
"ENSG00000002746","GO:0016567"
"ENSG00000002822","GO:0007094"
"ENSG00000002834","GO:0006811"
"ENSG00000002919","GO:0006886"
"ENSG00000002933","GO:2001199"
"ENSG00000003056","GO:0006622"
"ENSG00000003096","GO:0007049"
"ENSG00000003137","GO:0001709"
"ENSG00000003147","GO:0006836"
"ENSG00000003249","GO:0006469"
"ENSG00000003393","GO:0001662"
"ENSG00000003400","GO:0006508"
"ENSG00000003402","GO:0006508"
"ENSG00000003436","GO:0007596"
"ENSG00000003509","GO:0019918"
"ENSG00000003756","GO:0000245"
"ENSG00000003987","GO:0006470"
"ENSG00000003989","GO:0006865"
"ENSG00000004059","GO:0006886"
"ENSG00000004139","GO:0007165"
"ENSG00000004142","GO:0016242"
"ENSG00000004399","GO:0001525"
"ENSG00000004455","GO:0006172"
"ENSG00000004468","GO:0001666"
"ENSG00000004478","GO:0000413"
"ENSG00000004487","GO:0000122"
"ENSG00000004534","GO:0000398"
"ENSG00000004660","GO:0016310"
"ENSG00000004700","GO:0000724"
"ENSG00000004766","GO:0015031"
"ENSG00000004776","GO:0009408"
"ENSG00000004777","GO:0007264"
"ENSG00000004779","GO:0006120"
"ENSG00000004799","GO:0006006"
"ENSG00000004809","GO:0006811"
"ENSG00000004838","GO:0003341"
"ENSG00000004846","GO:0001654"
"ENSG00000004848","GO:0000122"
"ENSG00000004864","GO:0006094"
"ENSG00000004866","GO:0030198"
NA,NA
"ENSG00000004897","GO:0007091"
"ENSG00000004939","GO:0006820"
"ENSG00000004948","GO:0001503"
"ENSG00000004961","GO:0009887"
"ENSG00000004975","GO:0001843"
"ENSG00000005001","GO:0006508"
"ENSG00000005007","GO:0000184"
"ENSG00000005020","GO:0007165"
"ENSG00000005022","GO:0007059"
"ENSG00000005059","GO:0006851"
"ENSG00000005073","GO:0001501"
"ENSG00000005075","GO:0006366"
"ENSG00000005100","GO:0006413"
"ENSG00000005102","GO:0001757"
"ENSG00000005108","GO:0001525"
"ENSG00000005156","GO:0000724"
"ENSG00000005175","GO:0050821"
"ENSG00000005187","GO:0006633"
"ENSG00000005194","GO:0006915"
"ENSG00000005206","GO:0006509"
"ENSG00000005243","GO:0006886"
"ENSG00000005249","GO:0006631"
"ENSG00000005302","GO:0006338"
"ENSG00000005339","GO:0000122"
"ENSG00000005379","GO:0008150"
"ENSG00000005381","GO:0001878"
"ENSG00000005421","GO:0008203"
"ENSG00000005436","GO:0000245"
"ENSG00000005448","GO:0002091"
"ENSG00000005469","GO:0006091"
"ENSG00000005471","GO:0006629"
"ENSG00000005483","GO:0002446"
"ENSG00000005486","GO:0030433"
"ENSG00000005513","GO:0000122"
"ENSG00000005700","GO:0001933"
"ENSG00000005801","GO:0006355"
"ENSG00000005810","GO:0007411"
"ENSG00000005812","GO:0016567"
"ENSG00000005844","GO:0002291"
"ENSG00000005882","GO:0006006"
"ENSG00000005884","GO:0001764"
"ENSG00000005889","GO:0001541"
"ENSG00000005893","GO:0006605"
"ENSG00000005961","GO:0001525"
"ENSG00000005981","GO:0035556"
"ENSG00000006007","GO:0006580"
"ENSG00000006016","GO:0001657"
"ENSG00000006025","GO:0006699"
"ENSG00000006042","GO:0010955"
"ENSG00000006047","GO:0006366"
"ENSG00000006059","GO:0030855"
"ENSG00000006062","GO:0000165"
"ENSG00000006071","GO:0001678"
"ENSG00000006116","GO:0006605"
"ENSG00000006118","GO:0008150"
"ENSG00000006125","GO:0001822"
"ENSG00000006128","GO:0006954"
"ENSG00000006194","GO:0000122"
"ENSG00000006210","GO:0001774"
"ENSG00000006282","GO:0005975"
"ENSG00000006283","GO:0003163"
"ENSG00000006327","GO:0001525"
"ENSG00000006377","GO:0001501"
"ENSG00000006432","GO:0000165"
"ENSG00000006451","GO:0001843"
"ENSG00000006453","GO:0007009"
"ENSG00000006459","GO:0006338"
"ENSG00000006468","GO:0006357"
"ENSG00000006530","GO:0045039"
"ENSG00000006534","GO:0006066"
"ENSG00000006606","GO:0001938"
"ENSG00000006607","GO:0007155"
"ENSG00000006611","GO:0000086"
"ENSG00000006625","GO:0001836"
"ENSG00000006634","GO:0000082"
"ENSG00000006638","GO:0006939"
"ENSG00000006652","GO:0007518"
"ENSG00000006659","GO:0006915"
"ENSG00000006695","GO:0000266"
"ENSG00000006704","GO:0000122"
"ENSG00000006712","GO:0000122"
"ENSG00000006715","GO:0006623"
"ENSG00000006740","GO:0006887"
"ENSG00000006744","GO:0016078"
"ENSG00000006747","GO:0007417"
"ENSG00000006757","GO:0008150"
"ENSG00000006788","GO:0006936"
"ENSG00000006831","GO:0009755"
"ENSG00000006837","GO:0006468"
"ENSG00000007001","GO:0006218"
"ENSG00000007038","GO:0006508"
"ENSG00000007047","GO:0000226"
"ENSG00000007062","GO:0010842"
"ENSG00000007080","GO:0006366"
"ENSG00000007129","GO:0042110"
"ENSG00000007168","GO:0000132"
"ENSG00000007171","GO:0001666"
"ENSG00000007174","GO:0003341"
"ENSG00000007216","GO:0015741"
"ENSG00000007237","GO:0030041"
"ENSG00000007255","GO:0006888"
"ENSG00000007264","GO:0006468"
"ENSG00000007306","GO:0002682"
"ENSG00000007312","GO:0002250"
"ENSG00000007314","GO:0006814"
"ENSG00000007341","GO:0030308"
"ENSG00000007350","GO:0006007"
"ENSG00000007372","GO:0000122"
"ENSG00000007376","GO:0000455"
"ENSG00000007384","GO:0008283"
"ENSG00000007392","GO:0006376"
"ENSG00000007402","GO:0034765"
"ENSG00000007516","GO:0001956"
"ENSG00000007520","GO:0000154"
"ENSG00000007541","GO:0005975"
"ENSG00000007545","GO:0007389"
"ENSG00000007866","GO:0006357"
"ENSG00000007908","GO:0002092"
"ENSG00000007923","GO:0007007"
"ENSG00000007933","GO:0042412"
"ENSG00000007944","GO:0006511"
"ENSG00000007952","GO:0001525"
"ENSG00000007968","GO:0000083"
"ENSG00000008018","GO:0043161"
"ENSG00000008056","GO:0007268"
"ENSG00000008083","GO:0000122"
"ENSG00000008086","GO:0001764"
"ENSG00000008118","GO:0016310"
"ENSG00000008128","GO:0000278"
"ENSG00000008130","GO:0006741"
"ENSG00000008196","GO:0000122"
"ENSG00000008197","GO:0006357"
"ENSG00000008226","GO:0002357"
"ENSG00000008256","GO:0032012"
"ENSG00000008277","GO:0006508"
