,root,d+,d-
GO:0014063,4,4,0
GO:0042981,4,2,17
GO:0071027,7,1,7
GO:0035600,7,1,0
GO:0062232,7,1,1
GO:0043049,4,2,0
GO:0006352,6,2,10
GO:2000523,4,3,3
GO:0051282,3,3,3
GO:0016539,7,1,0
GO:0000160,4,1,0
GO:1904439,5,3,0
GO:1904706,5,3,0
GO:0140241,5,1,1
GO:0032378,4,4,1
GO:0031642,3,4,0
GO:0043101,4,3,3
GO:0007017,2,1,8
GO:0033194,4,2,2
GO:0140588,7,1,0
GO:0106020,3,3,2
GO:0035425,4,1,0
GO:0031446,7,2,1
GO:0042376,6,2,0
GO:0010656,5,3,2
GO:0036445,5,1,0
GO:1905302,5,3,0
GO:0045089,4,6,7
GO:0009141,5,1,6
GO:1990918,3,3,0
GO:0006067,5,1,1
GO:1903860,4,4,0
GO:0032055,5,2,2
GO:0044861,6,2,0
GO:0007625,3,1,1
GO:0006055,5,2,0
GO:0030858,4,3,10
GO:0062197,4,2,7
GO:0006574,6,3,0
GO:1902629,5,2,0
GO:0002622,4,3,0
GO:1902339,4,3,1
GO:0032113,6,1,1
GO:0150101,5,2,0
GO:0046105,8,2,0
GO:0071976,3,1,0
GO:1904407,3,3,1
GO:0032900,3,3,0
GO:1904210,6,1,2
GO:1905268,4,3,1
GO:0150152,5,3,0
GO:1900086,8,4,0
GO:1904542,5,2,1
GO:0042704,3,1,0
GO:0002313,6,2,5
GO:0062100,4,3,1
GO:0007399,4,1,17
GO:0006585,6,2,0
GO:0051697,5,1,0
GO:2001260,4,2,1
GO:0008542,4,2,0
GO:0045665,4,3,7
GO:1902931,4,4,5
GO:0019521,5,1,1
GO:0015864,7,1,2
GO:0009642,5,1,6
GO:0014873,3,2,0
GO:1904858,4,5,0
GO:0039530,5,1,3
GO:1902174,6,3,0
GO:0006085,5,2,2
GO:2000136,4,2,4
GO:0010591,6,3,2
GO:1901194,5,4,0
GO:1900138,8,2,0
GO:0071363,4,2,12
GO:0006233,8,3,0
GO:1900625,6,3,0
GO:1904716,5,4,0
GO:0048266,3,2,1
GO:0030539,4,3,1
GO:0045684,3,3,1
GO:0061548,4,2,4
GO:0009114,7,2,0
GO:0006500,7,2,3
GO:0006782,5,3,0
GO:0048342,5,2,1
GO:0035269,5,2,0
GO:0036090,4,3,1
GO:0090596,4,2,4
GO:1902947,7,1,2
GO:0006686,4,4,0
GO:0046657,4,4,0
GO:0031960,5,1,3
GO:0060127,4,2,0
GO:0000436,7,3,2
GO:0015739,7,1,0
GO:1905000,5,3,1
GO:2001242,5,3,9
