,root,d+,d-
GO:0032011,8,1,2
GO:0090084,7,3,2
GO:1903279,11,2,2
GO:0030638,3,2,2
GO:0000966,8,1,4
GO:1901986,5,3,0
GO:0035434,9,3,3
GO:0019413,8,2,0
GO:0045124,6,2,2
GO:0110111,6,4,1
GO:2000058,9,3,3
GO:0006683,10,3,0
GO:0009950,7,2,1
GO:0060447,9,2,0
GO:1902239,10,4,0
GO:0018211,7,1,1
GO:1903573,7,4,3
GO:0019544,11,2,0
GO:0033499,8,1,0
GO:0002841,9,4,0
GO:0040018,6,4,0
GO:1900011,8,3,0
GO:1904398,8,3,1
GO:0090304,5,2,4
GO:0031016,4,1,4
GO:1905906,6,3,2
GO:0061523,7,2,1
GO:0002336,12,2,0
GO:0030809,10,4,1
GO:0003275,9,2,2
GO:0030643,5,2,0
GO:0010522,11,4,2
GO:0009822,5,3,0
GO:0097324,6,1,0
GO:0061029,9,2,0
GO:0071695,3,2,15
GO:0002416,7,1,0
GO:0002582,6,3,1
GO:0044851,2,1,2
GO:0031098,6,2,4
GO:0001998,11,3,0
GO:0006977,13,2,0
GO:0051041,7,3,0
GO:0070681,10,1,0
GO:1905169,7,2,1
GO:1904304,8,2,4
GO:0006601,8,3,0
GO:0015756,9,1,0
GO:2000296,8,4,0
GO:0044062,6,3,3
GO:0032292,8,1,1
GO:1904075,12,3,0
GO:1903041,10,4,1
GO:1902105,7,2,5
GO:0010951,9,2,4
GO:0048686,14,4,3
GO:0045168,5,2,1
GO:0007371,8,2,0
GO:0090317,9,4,3
GO:1903921,10,2,1
GO:0048793,7,1,3
GO:2000040,10,2,1
GO:1903609,13,2,0
GO:0042488,8,3,0
GO:0010526,5,2,2
GO:1904271,10,2,2
GO:0048539,7,3,0
GO:1903170,10,4,7
GO:0051222,8,4,5
GO:0055057,9,2,3
GO:0060375,9,2,2
GO:0072740,6,2,0
GO:0032601,7,1,3
GO:1901036,11,4,0
GO:0042742,6,2,9
GO:0032303,10,3,4
GO:0044070,6,2,4
GO:1900019,11,1,1
GO:0043378,13,4,0
GO:0006415,7,2,4
GO:1904120,11,4,0
GO:1901031,6,2,2
GO:0051958,8,2,0
GO:0060316,13,4,0
GO:0072528,5,5,5
GO:0016180,9,2,1
GO:1901897,7,2,2
GO:0043366,11,2,0
